Date,Observed,ERA5 model
20171017,22.3,18.89336028
20171018,3.4,7.810306655
20171019,4.4,4.606326334
20171020,10.1,4.734743459
20171021,0,0.70373307
20171022,0,0.004850872
20171023,0,0
20171024,0,8.32667E-14
20171025,0,0
20171026,0,0.002581949
20171027,0,8.32667E-14
20171028,0,0.000442058
20171029,0,0.000290174
20171030,0,0.032710613
20171031,0,8.32667E-14
20171101,0,0.507346668
20171102,24,9.026897718
20171103,17.3,7.854768409
20171104,0.5,4.331797226
20171105,0,0.637254031
20171106,0,0.000769761
20171107,0,1.285065924
20171108,0.5,0.186456644
20171109,4,0.341168529
20171110,2.7,0.485705114
20171111,0,0.051481156
20171112,2.8,1.258836883
20171113,0,0.080281124
20171114,0,8.32667E-14
20171115,0,0
20171116,0,8.32667E-14
20171117,0,8.32667E-14
20171118,0,0.000780417
20171119,0,0
20171120,0,0
20171121,0,8.32667E-14
20171122,23,13.5142747
20171123,0.8,4.65784466
20171124,23.4,33.24092346
20171125,0,0.123689877
20171126,0,0
20171127,0,8.32667E-14
20171128,0,0.042254208
20171129,1.7,0.715066096
20171130,0,0.043037536
20171201,2.9,1.6091657
20171202,0,0.000575203
20171203,0,0.000368369
20171204,0,8.32667E-14
20171205,0,0
20171206,0,0.457799146
20171207,15.8,2.106487929
20171208,13.1,3.506818173
20171209,4.4,3.069409415
20171210,96.8,60.0908341
20171211,16.6,10.21470732
20171212,2,1.367985841
20171213,3.3,3.504794592
20171214,2.5,3.424495711
20171215,2.7,2.640899872
20171216,0.4,0.81872316
20171217,0,0
20171218,0,0.058946836
20171219,0.3,0.066488459
20171220,0,0.000198579
20171221,0,8.32667E-14
20171222,0,8.32667E-14
20171223,0,0.000467358
20171224,0,0
20171225,10.2,10.22806645
20171226,30.6,23.2212273
20171227,9.3,6.502221387
20171228,5.5,3.429837977
20171229,6.1,4.652382537
20171230,1.8,3.090841078
20171231,19.6,0
